lna,a,A,omega,h,h2
-6.354075789984257,0.0017396422506245407,0.9999155788954381,-1.0575435322958167,8359.522789685872,69881621.27127747
-6.35108284072846,0.0017448567110190949,0.9999151994458675,-1.0572135065297403,8320.291168155043,69227245.1228788
-6.3480898906491845,0.0017500868028483875,0.9999148182243747,-1.0574279559313597,8281.24821411595,68579071.98379862
-6.345096939748291,0.0017553325729719638,0.9999144350620998,-1.0579492083950786,8242.39298923919,67937042.18905935
-6.342103988027568,0.0017605940683899626,0.9999140499069519,-1.0583903442408678,8203.724560466933,67301096.66400838
-6.339111035488714,0.0017658713362435753,0.9999136628441995,-1.0584156212606695,8165.242000053894,66671176.919444114
-6.33611808213336,0.0017711644238154263,0.9999132740468928,-1.057908247421939,8126.944385361986,66047225.042766705
-6.333125127963125,0.001776473378529897,0.9999128836829276,-1.057022401998847,8088.830798507008,65429183.686875515
-6.330132172979681,0.0017817982479534462,0.9999124918266407,-1.0560978468519309,8050.90032602648,64816996.05961328
-6.327139217184781,0.0017871390797949715,0.999912098419181,-1.0554849189142712,8013.152058721207,64210605.91618792
-6.3241462605802505,0.0017924959219062589,0.9999117032962577,-1.0553702299339427,7975.5850917306325,63609957.55543592
-6.32115330316794,0.00179786882228249,0.9999113062677824,-1.0556893016372655,7938.198524784526,63014995.81889123
-6.318160344949668,0.0018032578290627795,0.9999109072086255,-1.0561659362878968,7900.991462488037,62425666.090308845
-6.315167385927172,0.0018086629905306871,0.9999105061153644,-1.0564542167587572,7863.963014486426,61841914.29321043
-6.312174426102111,0.0018140843551146572,0.9999101031019271,-1.056309787650672,7827.11229542031,61263686.885119796
-6.309181465476094,0.0018195219713883965,0.9999096983377773,-1.055705820949166,7790.438424687967,60690930.848854735
-6.306188504050741,0.0018249758880712022,0.9999092919602515,-1.0548394515984996,7753.940526124705,60123593.682679065
-6.30319554182773,0.0018304461540283134,0.9999088840043401,-1.0540297108258743,7717.61772774536,59561623.39160945
-6.300202578808815,0.0018359328182713085,0.9999084743835124,-1.0535602251806382,7681.469161660385,59004968.481539495
-6.297209614995809,0.001841435929958579,0.9999080629295822,-1.0535442390412004,7645.493964188359,58453577.956440635
