body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,7776593.207377984,1.2206236395193821,1.1406155157287456e-09,1.4667290487132532e-16,6.591151641673812,6.59115164167381,1.0000000000000002,2.6950629206721576e-16
Earth,7797155.041272345,1.2238510502703415,1.1376076049397975e-09,1.459003442817474e-16,6.556434500135255,6.556434500135254,1.0000000000000002,1.354666808128416e-16
Earth,7817771.242034282,1.2270869945117377,1.1346076262955461e-09,1.4513185294998568e-16,6.521900221923495,6.521900221923494,1.0000000000000002,1.3618399384806537e-16
Earth,7838441.953413437,1.2303314948066923,1.1316155588781776e-09,1.4436740944230484e-16,6.487547843854501,6.4875478438545,1.0000000000000002,1.3690510514561762e-16
Earth,7859167.319539524,1.233584573777982,1.1286313818250415e-09,1.436069924378667e-16,6.4533764078175855,6.453376407817585,1.0000000000000002,1.3763003481777241e-16
Earth,7879947.484923389,1.2368462541082073,1.1256550743284982e-09,1.4285058072813315e-16,6.419384960748575,6.419384960748574,1.0000000000000002,1.3835880308330245e-16
Earth,7900782.594457929,1.2401165585399354,1.1226866156357864e-09,1.4209815321627815e-16,6.385572554603388,6.385572554603387,1.0000000000000002,1.3909143026803972e-16
Earth,7921672.793419161,1.2433955098758689,1.1197259850488696e-09,1.4134968891659717e-16,6.351938246331493,6.351938246331492,1.0000000000000002,1.398279368054444e-16
Earth,7942618.227467225,1.2466831309790025,1.1167731619242935e-09,1.4060516695392205e-16,6.318481097849614,6.318481097849613,1.0000000000000002,1.4056834323717478e-16
Earth,7963619.042647378,1.2499794447727794,1.1138281256730453e-09,1.398645665630398e-16,6.285200176015618,6.285200176015616,1.0000000000000002,2.826253404273177e-16
Earth,7984675.385391078,1.2532844742412617,1.1108908557604005e-09,1.391278670881109e-16,6.252094552602365,6.252094552602365,1.0,0.0
Earth,8005787.40251691,1.2565982424292748,1.1079613317057933e-09,1.3839504798209673e-16,6.21916330427199,6.21916330427199,1.0,0.0
Earth,8026955.241231675,1.2599207724425796,1.1050395330826649e-09,1.3766608880618412e-16,6.186405512550031,6.18640551255003,1.0000000000000002,1.435693825596019e-16
Earth,8048179.049131397,1.2632520874480297,1.102125439518323e-09,1.3694096922921593e-16,6.15382026379985,6.153820263799849,1.0000000000000002,1.443296004150265e-16
Earth,8069458.974202337,1.2665922106737304,1.0992190306938028e-09,1.362196690271246e-16,6.1214066491971755,6.1214066491971755,1.0,0.0
Earth,8090795.164822091,1.2699411654092123,1.096320286343715e-09,1.3550216808236573e-16,6.0891637647046455,6.0891637647046455,1.0,0.0
Earth,8112187.769760528,1.2732989750055765,1.0934291862561197e-09,1.347884463833605e-16,6.057090711046756,6.057090711046755,1.0000000000000002,1.4663449204752537e-16
Earth,8133636.938180887,1.276665662875669,1.090545710272375e-09,1.3407848402393516e-16,6.025186593684669,6.025186593684668,1.0000000000000002,1.4741094004143775e-16
Earth,8155142.81964081,1.280041252494241,1.0876698382869988e-09,1.333722612027664e-16,5.993450522791292,5.993450522791291,1.0000000000000002,1.481914994246886e-16
Earth,8176705.564093357,1.2834257673981098,1.0848015502475327e-09,1.3266975822282978e-16,5.961881613226488,5.961881613226487,1.0000000000000002,1.4897619196759854e-16
Earth,8198325.321888129,1.2868192311863333,1.0819408261543902e-09,1.3197095549084797e-16,5.930478984512283,5.930478984512283,1.0,0.0
Earth,8220002.243772208,1.290221667520359,1.0790876460607336e-09,1.3127583351674778e-16,5.899241760808468,5.899241760808468,1.0,0.0
Earth,8241736.48089128,1.2936331001242003,1.0762419900723237e-09,1.305843729131141e-16,5.868169070888055,5.8681690708880545,1.0000000000000002,1.5135528799031577e-16
Earth,8263528.184790668,1.297053552784597,1.0734038383473847e-09,1.2989655439465006e-16,5.8372600481130235,5.837260048113023,1.0000000000000002,1.521567331897851e-16
Earth,8285377.507416377,1.3004830493511814,1.070573171096468e-09,1.2921235877763935e-16,5.806513830410153,5.806513830410152,1.0000000000000002,1.529624221419253e-16
Earth,8307284.601116216,1.303921613736653,1.0677499685823043e-09,1.2853176697940928e-16,5.775929560246899,5.775929560246898,1.0000000000000002,1.537723773179393e-16
Earth,8329249.618640763,1.3073692699169304,1.0649342111196805e-09,1.2785476001780164e-16,5.745506384607611,5.745506384607611,1.0,0.0
Earth,8351272.713144493,1.3108260419313285,1.0621258790752927e-09,1.2718131901064118e-16,5.715243454969651,5.715243454969651,1.0,0.0
Earth,8373354.038186835,1.314291953882724,1.0593249528676122e-09,1.265114251752095e-16,5.685139927279748,5.685139927279748,1.0,0.0
Earth,8395493.74773322,1.317767029937721,1.0565314129667506e-09,1.2584505982772172e-16,5.655194961930476,5.6551949619304756,1.0000000000000002,1.5705531386258942e-16
Earth,8417691.996156225,1.3212512943268286,1.0537452398943154e-09,1.251822043828032e-16,5.625407723736757,5.625407723736756,1.0000000000000002,1.5788694141269112e-16
Earth,8439948.93823655,1.324744771344616,1.0509664142232865e-09,1.2452284035297449e-16,5.595777381912689,5.595777381912689,1.0,0.0
Earth,8462264.729164157,1.3282474853498913,1.048194916577873e-09,1.2386694934813345e-16,5.566303110048301,5.566303110048301,1.0,0.0
