catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,1927242,0.24576,40.75279,0.1332,56.36266897528158,40.321202890909234,40.455339543870984,40.33616852314928,40.45996757539781,40.63271626675595,0.31151337584671523,0.4315871090907635
DES,1344355,0.24448,40.34132,0.2067,23.405560552642736,40.308654138498824,40.442863259815965,40.323628079788236,40.44710025209874,40.221328632569275,-0.0873255059295488,0.03266586150117945
DES,1262746,0.23079,40.29796,0.1226,66.53023533074841,40.170544690038184,40.30553381038761,40.18560807970585,40.30546237519197,40.178849560682046,0.008304870643861761,0.12741530996181893
DES,1259246,0.22284,40.09276,0.1782,31.49086575947781,40.08685339499941,40.22229964984397,40.1019692209532,40.219618674715775,39.97416112960071,-0.11269226539869948,0.005906605000589593
DES,1302187,0.21942,39.96014,0.1979,25.533386051264404,40.05000312412383,40.18564698720137,40.06514162004673,40.18181868345169,39.84176120075818,-0.20824192336565517,-0.08986312412383057
DES,1275946,0.23212,40.32782,0.1157,74.70218107958098,40.18428676988256,40.319199714861455,40.19934142269194,40.31955706163925,40.208623977454145,0.024337207571583974,0.14353323011744124
DES,1305756,0.27589,40.66582,0.6008,2.7703851588915622,40.60060306717007,40.73305620900493,40.615375741110036,40.746324082924794,40.54380745272834,-0.05679561444173231,0.06521693282992658
DES,1261784,0.26523,40.9081,0.2072,23.292735647948003,40.5050743488533,40.63811826350351,40.519914720073174,40.64845148975988,40.786773405517394,0.28169905666409534,0.40302565114669875
DES,1560034,0.26891,40.7573,0.1768,31.991564464282053,40.53844014462802,40.67127952030444,40.55325707566557,40.682640709942625,40.635736603804105,0.09729645917608565,0.21885985537198138
DES,1792093,0.27659,40.82561,0.081,152.41579027587258,40.60675822133932,40.73917275303809,40.62152647147076,40.752628752148695,40.70355240892418,0.09679418758486236,0.21885177866067806
DES,1262726,0.25378,40.35512,0.1134,77.76315830401661,40.39849649950828,40.532180868846964,40.41341027953036,40.53921381525542,40.23453019345686,-0.16396630605142093,-0.04337649950828393
DES,1278493,0.27237,40.69293,0.1247,64.30830946959149,40.56943511176928,40.70208274933069,40.58423007137907,40.71439610568644,40.57114395871497,0.0017088469456894018,0.12349488823071653
DES,1697026,0.26046,40.98259,0.24,17.36111111111111,40.461193724959784,40.594503701664465,40.476064589837286,40.60348089497393,40.861570346868604,0.4003766219088192,0.5213962750402175
DES,1261963,0.27963,40.93028,0.2183,20.98420539843865,40.63332644542851,40.7655735597221,40.6480755142902,40.779840073215105,40.80802679011755,0.17470034468904316,0.29695355457149475
DES,1289664,0.25907,40.23541,0.1301,59.080669336719055,40.44826910412243,40.58165681294686,40.46314887858603,40.59023380668288,40.114479790994004,-0.3337893131284275,-0.2128591041224297
DES,1291242,0.27905,40.89237,0.2187,20.9075158128769,40.62827777697939,40.76055680005365,40.64303050157818,40.77466948818297,40.770154112126704,0.141876335147316,0.2640922230206115
DES,1502065,0.27316,40.71483,0.1397,51.23977190103142,40.57646185976119,40.70906579658188,40.59125181190764,40.7215946164647,40.59299312356456,0.016531263803372553,0.1383681402388106
DES,1334087,0.26628,40.58229,0.1056,89.67516069788797,40.5146371577921,40.64762264792478,40.529470833358275,40.658250788831914,40.46089583981116,-0.05374131798094339,0.0676528422078988
DES,1345553,0.31794,41.1955,0.1235,65.5640971004278,40.94750658417344,41.077679633625266,40.962018132800104,41.10128182655159,41.07078160706419,0.12327502289075198,0.24799341582656353
DES,1337838,0.31194,41.03821,0.1303,58.899440396416786,40.90063395652099,41.03112753148366,40.91518219834854,41.05337253578759,40.913877696814126,0.013243740293134465,0.1375760434790081
DES,1338128,0.31184,41.13838,0.1588,39.65509583843562,40.89984590613095,41.030344836563124,40.91439476108403,41.05256689805552,41.01405413164329,0.11420822551234266,0.238534093869049
DES,1294743,0.31257,41.05905,0.2082,23.069519535730535,40.90559345900366,41.03605330461659,40.92013783932833,41.05844260422262,40.93467715739038,0.02908369838672087,0.15345654099633776
DES,1299503,0.29498,43.93669,248.0366,1.6254307102578096e-05,40.76361299619095,40.895021189271915,40.77826596827632,40.913221296509235,43.81344904384062,3.04983604764967,3.1730770038090483
DES,1880686,0.31406,41.01342,0.1067,87.8357190978569,40.91728742374248,41.04766756613011,40.93182267945855,41.070396459385314,40.88895127843582,-0.0283361453066604,0.09613257625752425
